Project	Fully-Qualified Class Name	Module	Description
client	com.l3com.apps.adjustmodeldeltas.controllers.AdjustModelDeltasController.java	Adjust Model Deltas	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.adjustmodeldeltas.gui.listeners.OpenAdjustModelDeltasListener.java	Adjust Model Deltas	"An interface that is implemented by a module's controller, and whose method is called by a module's view when a predefined user action occurs"
client	com.l3com.apps.adjustmodeldeltas.gui.MainWindow.java	Adjust Model Deltas	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.adjustmodeldeltas.gui.models.ModelDeltaTreeTableLine.java	Adjust Model Deltas	"An implementation of the javax.swing.tree.TreeNode interface. Represents a line in a table that can be expanded, collapsed, and contain other lines as children"
client	com.l3com.apps.adjustmodeldeltas.gui.models.ModelDeltaTreeTableModel.java	Adjust Model Deltas	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustmodeldeltas.gui.models.RqmtAbidesTableModel.java	Adjust Model Deltas	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustmodeldeltas.managers.AdjustModelDeltasManager.java	Adjust Model Deltas	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.adjustmodeldeltas.security.AdjustModelDeltasSecurityManager.java	Adjust Model Deltas	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.adjustrqmts.controllers.AdjustRqmtsController.java	Adjust Requirements	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.adjustrqmts.data.GetSet.java	Adjust Requirements	"A utility class containing accessor and mutator methods for an object. ""GetSet""classes are used by both view and model classes. In views, they provide the rendered (or user-friendly) value for each of an object's fields. In models, they provide the raw value for each field. If a field is editable by the user, a GetSet class provides ""reverse-translation""between what the user enters and the allowable values and/or data types for a field."
client	com.l3com.apps.adjustrqmts.data.RequirementChangeWrapper.java	Adjust Requirements	Adds extra functionality to JAXB-generated classes by compositing a JAXB message object within a wrapper object. Common functionality provided by wrapper classes includes boolean flags that indicate whether an object is selected within a list or table.
client	com.l3com.apps.adjustrqmts.gui.AdjustQuantitiesWindow.java	Adjust Requirements	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.adjustrqmts.gui.components.PrioritizedComboBox.java	Adjust Requirements	  
client	com.l3com.apps.adjustrqmts.gui.filter.RequirementChangeFilterPopup.java	Adjust Requirements	A graphical component that displays the filters that can be applied to a table column.
client	com.l3com.apps.adjustrqmts.gui.filter.RequirementChangeFilterRow.java	Adjust Requirements	A row in a FilterPopup table that contains a checkbox and a value that can be applied as a table filter by checking or unchecking the checkbox.
client	com.l3com.apps.adjustrqmts.gui.filter.RequirementChangeTableHeaderRenderer.java	Adjust Requirements	"Renders the column headers in a table that is filterable. Displays an icon to indicate whether a column currently has filters applied. Displays a second icon to indicate if the column is currently sorted, and in what direction."
client	com.l3com.apps.adjustrqmts.gui.filter.RequirementChangeTableModel.java	Adjust Requirements	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustrqmts.gui.filter.RequirementChangeTableSorter.java	Adjust Requirements	Contains the logic for how to compare and sort the objects in a table based on the sort criteria the user has applied to the table's columns
client	com.l3com.apps.adjustrqmts.gui.listeners.IssueSelectionListener.java	Adjust Requirements	"An interface that is implemented by a module's controller, and whose method is called by a module's view when a predefined user action occurs"
client	com.l3com.apps.adjustrqmts.gui.listeners.ProgramObanSelectionListener.java	Adjust Requirements	"An interface that is implemented by a module's controller, and whose method is called by a module's view when a predefined user action occurs"
client	com.l3com.apps.adjustrqmts.gui.listeners.ResourceTypeSelectionListener.java	Adjust Requirements	"An interface that is implemented by a module's controller, and whose method is called by a module's view when a predefined user action occurs"
client	com.l3com.apps.adjustrqmts.gui.MainWindow.java	Adjust Requirements	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.adjustrqmts.gui.models.FundingTreeTableLine.java	Adjust Requirements	"An implementation of the javax.swing.tree.TreeNode interface. Represents a line in a table that can be expanded, collapsed, and contain other lines as children"
client	com.l3com.apps.adjustrqmts.gui.models.FundingTreeTableModel.java	Adjust Requirements	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustrqmts.gui.models.PrioritizedComboBoxModel.java	Adjust Requirements	An extension of the javax.swing.AbstractListModel class. Supplied to a javax.swing.JList or javax.swing.JComboBox as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustrqmts.gui.models.RqmtAbidesTableModel.java	Adjust Requirements	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustrqmts.gui.renderers.PrioritizedComboBoxListRenderer.java	Adjust Requirements	"An extension of javax.swing.DefaultListCellRenderer. Provides a user-friendly, rendered value for every object in a JList or JComboBox. Can also supply background color, font color, and font styling (italics, bold, etc.) as visual indicators to the user."
client	com.l3com.apps.adjustrqmts.gui.renderers.ProgramObanTreeTableRenderer.java	Adjust Requirements	"An extension of javax.swing.table.DefaultTableCellRenderer. Provides a user-friendly, rendered value for every object in a JTable. Can also supply background color, font color, and font styling (italics, bold, etc.) as visual indicators to the user."
client	com.l3com.apps.adjustrqmts.gui.renderers.RequirementChangeTableCellRenderer.java	Adjust Requirements	"An extension of javax.swing.table.DefaultTableCellRenderer. Provides a user-friendly, rendered value for every object in a JTable. Can also supply background color, font color, and font styling (italics, bold, etc.) as visual indicators to the user."
